区域,名称,景点id,类型,级别,热度,地址,特色,经纬度
福建·莆田·城厢区,莆田九龙谷,3375490664,自然风光,,热度 0.74,福建省莆田市城厢区常太镇莒溪溪南村,攀登悬崖、寻幽探险，观赏鹿苑、游憩山野,"118.843986,25.443098"
山东·青岛·即墨市,鹤山,3516340326,自然风光,3A景区,热度 0.7,山东省青岛即墨鳌山卫镇南4公里,以回环曲折、峥嵘清秀、泉甘石奇为特色,"120.648456,36.341623"
山东·临沂·沂水县,地下大峡谷,3643465843,自然风光,4A景区,热度 1.0,山东省临沂市沂水县姚店子镇永富庄,中国特大型著名溶洞之一,"118.552734,35.731915"
福建·福州·永泰县,中国福州云顶,306843155,自然风光,,热度 0.0,福建省福州市永泰县,云顶上的世外桃源,"118.972,25.742"
江苏·镇江·润州区,镇江金山,2378116228,自然风光,5A景区,热度 0.0,江苏省镇江市润州区金山路62号,法海岂能懂爱，白娘娘大发雌威之地,"119.422532,32.225542"
河南·许昌·禹州市,大鸿寨,4093867287,自然风光,4A景区,热度 0.76,河南省禹州市鸠山镇后地村,万壑纵横，群山围拱，峰峦叠翠，气象万千,"113.09725,34.243901"
贵州·贵阳·花溪区,天河潭旅游度假区,1703719381,自然风光,4A景区,热度 0.82,贵州省贵阳市花溪区石板镇天河潭风景区,黄果树瀑布之雄，龙宫之奇花溪之秀,"106.586422,26.44822"
江苏·苏州·常熟市,沙家浜,3969348563,自然风光,5A景区,热度 0.72,江苏省苏州市常熟市阳澄湖畔,穿越历史的气质美,"120.807985,31.559447"
海南·琼海,白石岭风景区,3619458774,自然风光,,热度 0.74,海南省琼海市加积镇白石岭风景区,有“琼崖奇观”的美称,"110.398508,19.175705"
湖北·武汉·黄陂区,木兰天池,31389687,自然风光,5A景区,热度 0.72,湖北省武汉市黄陂区长轩岭镇石门山,游览浪漫山水，高峡人家和森林公园,"114.29107,31.183857"
甘肃·张掖·肃南县,张掖冰沟丹霞旅游景区,4014617654,自然风光,4A景区,热度 0.0,甘肃省张掖肃南县康乐乡,危崖劲露，气势磅礴，苍劲雄浑,"99.909973,39.013754"
江苏·连云港·连云区,连云港花果山,4093770257,自然风光,5A景区,热度 1.0,江苏省连云港市新浦区郁林路5号,大圣故里，神话仙境,"119.278096,34.648745"
贵州·黔西南·兴义市,马岭河峡谷,2282537642,自然风光,,热度 1.0,贵州省黔西南兴义城东北6公里,谷内群瀑飞流，翠竹倒挂，让人流连忘返,"104.96085,25.13558"
贵州·毕节·织金县,织金洞,4081580954,自然风光,4A景区,热度 1.0,贵州省毕节市织金县官寨乡织金洞景区,黄山归来不看岳， 织金洞外无洞天,"105.902441,26.770667"
天津·天津·蓟县,天津盘山风景名胜区,2140799835,自然风光,5A景区,热度 0.8,天津市蓟县官庄镇北15公里处,早知有盘山，何必下江南,"117.286958,40.100119"
河北·张家口·尚义县,大青山国际旅游度假区,2077252851,自然风光,,热度 0.0,河北省张家口市尚义县城东南12公里的大青山国家森林公园内,原生态旷野自然风光,"114.044026,40.960893"
云南·西双版纳·景洪市,野象谷,2592790641,自然风光,4A景区,热度 1.0,云南省西双版纳傣族自治州景洪市勐养镇三岔河,与憨态可掬的大象漫步在热带雨林,"100.865759,22.175621"
贵州·黔西南·兴义市,万峰林,1500510057,自然风光,4A景区,热度 0.7,贵州省黔西南州兴义市万峰林街道,上万座锥状的山峰一座挨一座，非常壮观,"104.929696,25.009011"
江西·萍乡·芦溪县,武功山,943865565,公园,5A景区,热度 1.0,江西省萍乡市芦溪县,高山草甸，初见惊艳，再见依然！,"114.162743,27.471336"
北京·北京·海淀区,颐和园,4268080051,公园,5A景区,热度 0.82,北京市海淀区新建宫门路19号,保存完整的一座皇家行宫御苑,"116.276887,39.999497"
江苏·苏州·平江区,拙政园,641515105,公园,5A景区,热度 1.0,江苏省苏州市平江区东北街178号,庭院错落，花木为胜，天下园林之典范,"120.635191,31.330583"
安徽·芜湖·南陵县,马仁奇峰,3821817759,公园,4A景区,热度 0.76,安徽省芜湖市繁昌铜陵南陵三县交界处,体验式旅游精品景区,"118.174791,30.978893"
江西·萍乡·芦溪县,仙凤三宝乡村文旅田园综合体,2960016855,公园,4A景区,热度 0.0,江西萍乡市芦溪县宣风镇竹垣村,走进萍乡的“马尔代夫”,"114.179158,27.722726"
甘肃·张掖·临泽县,张掖七彩丹霞旅游景区,1780470082,公园,4A景区,热度 0.0,甘肃省张掖市临泽县倪家营南台子村,来中国秀美的七大丹霞赏彩色丹霞,"100.042244,38.970483"
北京·北京·海淀区,圆明园,1427399043,公园,4A景区,热度 0.76,北京市海淀区清华西路28号,追忆昔日万园之园,"116.314607,40.01629"
海南·三亚·吉阳区,亚龙湾热带天堂森林公园,2126521451,公园,4A景区,热度 0.8,海南省三亚市吉阳镇亚龙湾国际旅游度假区,《非诚勿扰II》《亲爱的，热爱的》取景地,"109.659829,18.25797"
湖南·张家界·永定区,天门山国家森林公园,3438058182,公园,5A景区,热度 0.82,湖南省张家界市永定区天门山索道站,穿越云霄的旅行,"110.482089,29.072408"
湖南·张家界·武陵源区,张家界国家森林公园,852581432,公园,5A景区,热度 0.9400000000000001,湖南省张家界市武陵源区,三千奇峰，八百秀水,"110.459244,29.336908"
吉林·长春·南关区,长影世纪城,873408284,公园,5A景区,热度 0.86,吉林省长春市净月开发区长双公路,北方冬天玩出狂拽酷炫,"125.453307,43.779397"
江西·宜春·袁州区,明月山,736564328,公园,5A景区,热度 1.0,江西省宜春市袁州区温汤镇,嫦娥的故乡，传说是当年嫦娥奔月的地方,"114.299102,27.60543"
四川·广元·剑阁县,剑门关,3560776735,公园,5A景区,热度 1.0,四川省广元市剑阁县河东街64号,自然风光雄、奇、幽、秀,"105.573795,32.211505"
广东·深圳·东部华侨城,东部华侨城大侠谷,2506907772,公园,,热度 0.0,广东省深圳市盐田区大梅沙东部华侨城,行走峡湾栈道，倾听大自然的天籁之音,"114.310242,22.615183"
陕西·西安·曲江旅游度假区,大唐芙蓉园,1509067984,公园,5A景区,热度 0.86,陕西省西安市雁塔曲江新区芙蓉西路99号,进入中国盛唐文化之旅,"108.980798,34.218929"
四川·成都·青羊区,成都浣花溪公园,2687455122,公园,,热度 0.0,四川省成都市青羊区草堂路,园内山水交融，花草树木绿阴蔽日,"104.03414,30.66223"
湖南·岳阳·平江县,玻璃桥景区石牛寨,1915618311,公园,,热度 0.0,湖南省岳阳市平江县大坪乡,由怪石、奇峰、石洞组成的丹霞石的世界,"113.999367,28.915724"
江苏·苏州·平江区,狮子林,3534312851,公园,4A景区,热度 0.9,江苏省苏州市平江区园林路23号,苏州园林中代表元朝艺术风格的私家园林,"120.635345,31.327256"
北京·北京·东城区,天坛公园,1053903287,公园,5A景区,热度 0.8,北京市东城区天坛内东里7号,探寻古代皇帝祭天仪式的奥秘,"116.417313,39.887976"
江苏·扬州·邗江区,瘦西湖,328136322,公园,5A景区,热度 1.0,江苏省扬州市维扬区长春路118号,湖上园林的典型代表,"119.430517,32.419989"
河北·保定·涞源县,白石山世界地质公园,2702357307,公园,5A景区,热度 0.74,河北省保定市涞源县城南15公里处白石山景区,壮观悬空玻璃道，抗日少年英雄山,"114.689055,39.236145"
四川·绵阳·江油市,窦团山,2145319142,公园,4A景区,热度 0.8400000000000001,四川省绵阳市江油市武都镇团山村,文人墨客隐居“修仙”之处,"104.818274,31.914937"
广东·广州·番禺,南粤苑,3176750123,公园,,热度 0.0,广东省广州市番禺区沙湾镇紫坭村（临接宝墨园）,曲折逶迤，百转回廊的南粤建筑菁华,"113.297255,22.903634"
福建·福州·连江县,贵安欢乐世界,2906123035,公园,,热度 0.0,福建省福州市连江县贵安温泉旅游度假区贵安新天地,生活中的童话，拥抱触手可及的快乐,"119.405391,26.251887"
广东·深圳,锦绣中华民俗村,245035852,公园,5A景区,热度 0.74,广东省深圳市南山区深南大道9003号华侨城锦绣中华苏州街（近华侨城地铁站D出口）,深圳小人国——实景微缩景区候选世界纪录,"113.993478,22.538498"
江苏·无锡·滨湖区,鼋头渚,2976803000,公园,5A景区,热度 0.9400000000000001,江苏省无锡市滨湖区鼋头渚1号,太湖佳绝处，毕竟在鼋头,"120.233458,31.529306"
辽宁·本溪·本溪县,关门山国家森林公园,3680692902,公园,4A景区,热度 0.86,辽宁省本溪市本溪县山城子镇本溪水洞南13公里,断落处溅起朵朵水花，泻入青潭,"124.155593,41.14521"
河南·洛阳·栾川县,老君山景区,763063294,公园,5A景区,热度 0.72,河南省洛阳市栾川县城东,山势雄伟，美不胜收,"111.653834,33.762504"
安徽·潜山市,天柱山,1988650762,公园,5A景区,热度 0.86,安徽省安庆市潜山县境内,飞瀑流泉，溪涧遍布，山有多高，水有多长,"116.466287,30.739246"
天津·天津·滨海新区,天津泰达航母主题公园,3492570154,公园,4A景区,热度 0.7,天津市滨海新区汉沽汉北路269号,军事主题公园,"117.815028,39.162205"
江苏·扬州·广陵区,个园,4053221398,公园,4A景区,热度 0.8800000000000001,江苏省扬州市广陵区盐阜东路10号,聆听石头与竹子的低语,"119.450276,32.404901"
山东·青岛·黄岛区,青岛森林野生动物世界,844151812,公园,4A景区,热度 0.7,山东省青岛市黄岛区小珠山风景区,大型动物表演、竞技、运动会，其乐无穷,"120.066014,35.988067"
浙江·杭州·西湖区,西溪国家湿地公园·周家村,149504506,公园,5A景区,热度 0.0,浙江省杭州市西湖区天目山路518号,游《非诚勿扰》拍摄地，感受湿地水乡浪漫,"120.074003,30.274637"
江苏·苏州·金阊区,留园,390980115,公园,5A景区,热度 0.78,江苏省苏州金阊区阊门外留园路338号,苏州园林中代表清朝艺术风格的私家园林,"120.598937,31.321719"
山东·济南·天下第一泉风景区,趵突泉公园,3319594683,公园,5A景区,热度 0.9400000000000001,山东省济南市历下区趵突泉南路1号,康熙皇帝赞誉的天下名泉,"117.02264,36.667808"
河北·秦皇岛·北戴河区,鸽子窝公园,3121086149,公园,4A景区,热度 0.78,河北省秦皇岛市北戴河区海滨东北角鸽赤路,来这里欣赏“红日浴海”的奇景,"119.533165,39.842702"
海南·三亚·河东区,三亚千古情景区,2771384953,公园,,热度 0.0,海南省三亚市河东区三亚海南省三亚市荔枝沟宋城三亚千古情景区,给我一个小时，带你穿越千年,"109.536751,18.296306"
山东·日照·东港区,日照海洋公园,2641089736,公园,,热度 0.0,山东省日照市东港区碧海路185号（万平口四号门路西）,海洋馆与花鸟园的融合,"119.613964,35.486225"
湖北·武汉·黄陂区,锦里沟,1813774347,公园,4A景区,热度 0.0,湖北省武汉市黄陂区蔡店乡道士冲村,看樱花桃花次第盛放，感受土苗文化风情,"114.238967,31.279625"
广东·肇庆·星湖,肇庆七星岩,1684855179,公园,4A景区,热度 0.0,广东省肇庆市端州区迎宾大道七星岩旅游度假区内,湖中有山，山中有洞，洞中有河,"112.483486,23.084494"
河北·秦皇岛·北戴河区,碧螺塔海上酒吧公园,3461659426,公园,4A景区,热度 0.7,河北省秦皇岛市北戴河区东海滩路中段(近鸽子窝公园),一个具有百老汇风情的中国式酒吧公园,"119.54357,39.827324"
河南·开封·龙亭区,清明上河园,2388215734,公园,5A景区,热度 1.0,河南省开封市龙亭区龙亭西路5号,穿越宋朝，亲身体验清明上河图,"114.346802,34.814867"
山西·长治·壶关县,太行山大峡谷,40389458,公园,4A景区,热度 1.0,山西省壶关县桥上乡,奇峰涧壑，林海悬崖，四时之景，巧夺天工,"113.470193,35.948267"
河北·承德·双桥区,避暑山庄,3558786789,公园,5A景区,热度 1.0,河北省承德市双桥区丽正门大街20号,古代帝王宫苑，清代皇帝避暑处理政务地,"117.940068,41.002781"
重庆·重庆·万盛区,梦幻奥陶纪,3249063831,公园,,热度 0.0,重庆市綦江区万盛黑山谷南门上行5公里—梦幻奥陶纪景区,穿越5亿年，探索神奇远古寒冰洞,"106.960039,28.84188"
海南·海口·秀英区,火山口国家地质公园,274072164,公园,4A景区,热度 0.0,海南省海口市秀英区石山镇,世界地质公园，万年火山奇观,"110.225955,19.931249"
内蒙古·兴安盟·阿尔山市,阿尔山国家森林公园,314220277,公园,5A景区,热度 1.0,内蒙古兴安盟阿尔山市林海街,奇岩怪石姿态万千，堪称火山地质博物馆,"120.428594,47.28971"
山东·烟台·长岛县,长岛,1066831477,公园,4A景区,热度 0.78,山东省烟台市长岛县长岛风景区,朝看黄海日出，暮观渤海日落,"120.732217,37.921039"
浙江·湖州·德清县,莫干山,3241002926,公园,4A景区,热度 0.82,浙江省湖州市德清县莫干山风景名胜区,古有莫邪，今有莫干名山,"119.875123,30.61246"
湖北·宜昌·长阳县,清江画廊,3625794079,公园,5A景区,热度 0.72,湖北省宜昌市长阳县龙舟坪镇晒鼓坪村,无法抗拒的山清水秀，谁来谁说好,"111.146829,30.469896"
重庆·重庆·江津区,四面山,2451671657,公园,5A景区,热度 0.72,重庆市江津区四面山风景区,生机盎然，峡谷深山，森林莽莽,"106.419045,28.653445"
重庆·重庆·渝北区,重庆园博园,114621108,公园,4A景区,热度 0.0,重庆市渝北区,一个集自然和人文景观为一体的生态公园,"106.56312,29.691759"
福建·三明·泰宁县,大金湖,2900395669,公园,5A景区,热度 1.0,福建省三明泰宁县大金湖世界地质公园内,湖泊与丹霞奇观的完美结合，似一处世外仙境,"117.108496,26.871121"
河北·保定·易县,狼牙山,592049993,公园,4A景区,热度 0.8,河北省保定市易县狼牙山镇东西水村,“狼牙山五壮士“英雄山，著名爱国教育基地,"115.18275,39.149357"
广西·贺州·八步区,姑婆山,3177334510,公园,4A景区,热度 0.78,广西壮族自治区贺州市八步区姑婆山大道姑婆山国家森林公园,大自然的森林氧吧,"111.56721,24.622001"
四川·甘孜州·道孚县,墨石公园,2120079683,公园,4A景区,热度 0.0,四川省甘孜州道孚县八美镇卡玛村与中古村交界处,拥有世人向往的八大奇观,"101.541881,30.445199"
云南·西双版纳·景洪市,西双版纳原始森林公园,3090073380,公园,4A景区,热度 0.8,云南省西双版纳傣族自治州距景洪市8公里处213国道旁,独特的原始热带雨林自然风光融合民族风情,"100.881258,22.033038"
云南·西双版纳·景洪市,景洪曼听公园,3601401562,公园,4A景区,热度 0.86,云南省西双版纳傣族自治州景洪市曼听路35号,古老的傣王御花园,"100.814267,21.998503"
四川·成都·新津县,花舞人间,1561606236,公园,4A景区,热度 0.0,四川省成都市新津县新蒲路梨花溪1号,体验如天堂般绚丽多姿的花海,"103.803879,30.395234"
海南·琼海,白石岭风景区,3619458774,公园,,热度 0.74,海南省琼海市加积镇白石岭风景区,有“琼崖奇观”的美称,"110.398508,19.175705"
湖北·武汉·黄陂区,木兰天池,31389687,公园,5A景区,热度 0.72,湖北省武汉市黄陂区长轩岭镇石门山,游览浪漫山水，高峡人家和森林公园,"114.29107,31.183857"
甘肃·张掖·肃南县,张掖冰沟丹霞旅游景区,4014617654,公园,4A景区,热度 0.0,甘肃省张掖肃南县康乐乡,危崖劲露，气势磅礴，苍劲雄浑,"99.909973,39.013754"
广西·崇左·扶绥县,龙谷湾恐龙公园,3312404800,公园,,热度 0.0,广西省崇左市扶绥县岜盆乡祥宁路1号,震撼人心的视觉体验，惊险刺激的冒险历程,"107.898777,22.554596"
北京·北京·丰台区,世界公园,1504293946,公园,4A景区,热度 0.7,北京市丰台区花乡丰葆路158号,40个国家的109处著名古迹名胜微缩景点,"116.2937,39.816749"
云南·楚雄·禄丰县,世界恐龙谷,2550802860,公园,4A景区,热度 1.0,云南省楚雄彝族自治州禄丰县世界恐龙谷风景旅游区,走进恐龙王国，穿越侏罗纪世界,"102.078072,24.975647"
福建·漳州·漳浦县,火山岛自然生态风景区,1253356808,公园,4A景区,热度 0.0,福建省漳州市漳浦县前亭镇江口村与岐沙村交口处,滨海火山地貌,"118.031946,24.211022"
云南·大理·大理市,苍山国家地质公园,3458049725,公园,4A景区,热度 0.8800000000000001,云南省大理白族自治州大理市漾濞彝族自治县,绝色美景，不去就真的遗憾,"100.175674,25.650175"
重庆·重庆·武隆天坑地缝国家地质公园,武隆仙女山国家森林公园,4149096825,公园,5A景区,热度 0.82,重庆市武隆县境乌江北岸双河乡,又一个仙女下凡调戏牧童的故事,"107.755105,29.500941"
香港·香港·香港岛,香港海洋公园,681137397,公园,,热度 0.96,香港特别行政区香港仔黄竹坑南朗山,妙趣横生的大型主题公园,"114.176588,22.241631"
重庆·重庆·巴南区,重庆汉海海洋公园,1105544,公园,,热度 0.0,重庆市巴南区龙洲湾铜锣山通江广场,休闲娱乐和海洋科普基地,"106.550476,29.399662"
四川·成都·双流区,成都松鼠部落森林假日公园,323392897,公园,,热度 0.0,四川省成都天府新区合江街道（原合江镇）东山大道二段北侧（近莓园新村）,抛开城市钢铁森林枷锁，亲近自然的绝佳优选,"104.155106,30.411921"
河南·信阳·浉河区,南湾湖,3318128737,公园,4A景区,热度 0.8800000000000001,河南省信阳市南湖大街188号,是国家森林公园、国家水利风景区,"114.011529,32.131712"
广东·广州·番禺,宝墨园,2430966413,公园,4A景区,热度 0.72,广东省广州市番禺区沙湾镇紫妮村,华夏文化浓缩地之一,"113.30069,22.901146"
山东·日照·东港区,日照海滨国家森林公园,1560378251,公园,4A景区,热度 0.82,山东省日照市东港区北沿海路北首,中国沿海仅存未被污染的黄金海岸,"119.633081,35.548016"
湖南·娄底·新化县,梅山龙宫,4150740876,公园,4A景区,热度 1.0,湖南省娄底市新化县油溪乡高桥村,洞内通风良好，空气清新,"111.298607,27.956111"
广东·梅州·梅江区,客天下,2751104271,公园,4A景区,热度 0.0,广东省梅州市梅江区三角镇客天下旅游产业园,游览美景，体验客家文化,"116.15629,24.270418"
北京·北京·西城区,北京海洋馆,3389244336,公园,4A景区,热度 0.7,北京市海淀区高粱桥斜街乙18号,奇幻海洋之旅，在帝都感受大海的魅力,"116.347505,39.95032"
河北·秦皇岛·山海关区,五佛森林公园,2241151812,公园,,热度 0.0,河北省秦皇岛市山海关区,一个具有浓郁佛教文化气息的五佛文化区,"119.751927,40.069705"
山西·忻州·芦芽山,万年冰洞,1764007341,公园,,热度 0.0,山西省忻州市宁武县东寨镇春景洼乡麻地沟村,一冰一火，奇特冰洞,"112.162416,38.959733"
上海·上海·浦东新区,上海周浦花海,845891815,公园,,热度 0.0,上海市浦东新区周浦镇周邓公路申江路界浜村406号,一年四季鲜花不断，汇成令人迷醉的花海,"121.65535,31.118973"
安徽·六安·金寨县,天堂寨,2307345546,公园,5A景区,热度 1.0,安徽省金寨县天堂寨风景区,感受大自然的神气伟丽，品味乡野的淳朴善良,"115.787575,31.136299"
浙江·宁波·奉化市,溪口景区,218721653,公园,5A景区,热度 0.9,浙江省宁波市奉化市溪口镇,寻找传奇色彩的小故事,"121.22742,29.687265"
陕西·宝鸡·眉县,宝鸡太白山,3937906923,公园,5A景区,热度 0.78,陕西省宝鸡市眉县汤峪镇太白山国际旅游度假区龙街陕西信合对面,岩崖已奇绝，冰雪竟雕皱,"107.821652,34.061746"
重庆·重庆·酉阳县,酉阳桃花源,2802914982,公园,5A景区,热度 0.72,重庆市酉阳县土家族苗族自治县桃花源路232号,桃花源--陶渊明笔下[桃花源记]原型地,"108.770241,28.859621"
湖北·十堰·丹江口市,武当山,1550364917,公园,5A景区,热度 1.0,湖北省十堰市丹江口市武当山景区,一座历史悠久的仙山，武当拳的发源地,"111.102943,32.511746"
宁夏·银川·灵武市,水洞沟旅游区,3773656333,公园,5A景区,热度 0.82,"宁夏银川市灵武市临河镇水洞沟旅游景区（西距银川市19公里,距机场11公里）",古人类、古长城遗址地,"106.525497,38.289477"
黑龙江·伊春·五营区,五营国家森林公园,1160636453,公园,4A景区,热度 0.0,黑龙江省伊春市五营区旅游公路以北17公里处,中国保存完整红松原始森林带,"129.220993,48.242453"
河南·洛阳·老城区,隋唐洛阳城明堂天堂景区,325171384,公园,,热度 0.0,河南省洛阳市老城区中州中路与定鼎路交叉口处,展现无以伦比的富丽堂皇,"112.464474,34.686965"
福建·厦门·集美区,厦门园博苑,2585913170,公园,,热度 0.7,福建省厦门市集美区杏前路319国道,世界上独一无二的水上大观园,"118.082278,24.577637"
辽宁·本溪·桓仁县,桓仁枫林谷,3858942580,公园,,热度 0.0,辽宁省本溪市桓仁本溪市桓仁县向阳乡,枫林谷森林公园位于桓仁满族自治县南部，区域面积2583公顷，地处长白山余脉，三面环山1288米，是辽宁为数不多的千米以上,"125.237649,41.130914"
四川·德阳,德阳萌族部落假日森林公园,1540357976,公园,,热度 0.0,四川省德阳萌族部落位于旌阳区东湖乡马安村4组,水陆空全面来袭，样样精彩，好玩到爆,"104.460242,31.130468"
江苏·泰州·姜堰市,溱湖国家湿地公园,586926082,公园,5A景区,热度 1.0,江苏省泰州市姜堰市溱潼镇,溱湖观赏湿地公园，品尝美味溱湖簖蟹,"120.09753,32.630055"
云南·迪庆·香格里拉县,普达措国家公园,2986440190,公园,5A景区,热度 0.8800000000000001,云南省迪庆藏族自治州香格里拉县建塘镇双桥,张杰谢娜婚礼之地，原始森林中的伊甸园,"99.91451,27.807468"
江苏·南京·夫子庙,瞻园,1056119055,公园,,热度 0.76,江苏省南京市秦淮区瞻园路128号,"瞻望玉堂,如在天上","118.791288,32.027072"
甘肃·酒泉·敦煌市,雅丹地质公园,1587091232,公园,4A景区,热度 0.78,甘肃省酒泉市敦煌市西北约180公里处,“魔鬼城”开启你的冒险之旅,"93.246061,40.519512"
陕西·宝鸡·眉县,宝鸡红河谷,3576274919,公园,4A景区,热度 0.72,陕西省宝鸡市眉县营头镇,天下美景一谷收,"107.755004,34.112416"
广西·玉林·北流市,大容山,1922561836,公园,,热度 1.0,广西壮族自治区玉林市北流市,春雾、夏凉、秋爽、冬干,"110.28956,22.858593"
云南·西双版纳·勐腊县,中科院西双版纳热带植物园,820180826,公园,5A景区,热度 0.8400000000000001,云南省西双版纳州勐腊县勐仑镇(近野象谷),四千余种来自世界各地的热带植物栖居于此,"101.260734,21.933968"
黑龙江·哈尔滨·香坊区,伏尔加庄园,1136505403,公园,4A景区,热度 0.0,黑龙江省哈尔滨市香坊区哈成路16公里处,感受俄式建筑独特风情,"126.906666,45.676867"
湖南·长沙·开福区,长沙世界之窗,332451731,公园,4A景区,热度 0.72,湖南省长沙市开福区三一大道485号(靠近湖南广电),将刺激的游乐项目和各国的历史遗迹融为一体,"113.058971,28.24039"
重庆·重庆·云阳县,龙缸地质公园,1592716909,公园,5A景区,热度 0.7,重庆市云阳县清水镇,浓郁土家风情，长江三峡的香格里拉,"109.011659,30.672232"
北京·北京·丰台区,北京园博园,2886293590,公园,,热度 0.0,北京市丰台区永定河畔,以园林为主题的博物馆,"116.195753,39.88455"
江苏·无锡·滨湖区,蠡园,1744611426,公园,4A景区,热度 0.8800000000000001,江苏省无锡市滨湖区环湖路青祁村70号,范蠡西施幽会的地方,"120.266196,31.523255"
浙江·金华·双龙,金华双龙风景区（双龙洞）,49388368,公园,4A景区,热度 0.72,浙江省金华市婺城区罗店镇金华山双龙风景区内,景观幻化多变，宛若置身“水晶龙宫”,"119.630015,29.20553"
云南·西双版纳·景洪市,傣族园,4207262985,公园,4A景区,热度 1.0,云南省西双版纳市景洪市勐罕镇橄榄坝,梦回傣族园，聆听另一种文化,"100.954223,21.855821"
河南·郑州,郑州园博园,928239706,公园,,热度 0.0,河南省郑州市航空港实验区,风景园林与花卉盆景行业盛会,"113.8755,34.465428"
上海·上海·青浦区,东方绿舟,1688540562,公园,4A景区,热度 0.7,上海市青浦区沪青平公路6888号,全国首屈一指的青少年校外教育营地,"121.015977,31.107866"
北京·北京·西城区,景山公园,3770579544,公园,4A景区,热度 0.74,北京市西城区景山西街44号,俯看故宫绝佳位置,"116.40302,39.932031"
浙江·丽水·云和县,云和梯田,3592349843,公园,4A景区,热度 0.0,浙江省丽水市云和县崇头镇,看梯田美景，在七星墩守候云海日出,"119.502895,28.058765"
上海·上海·崇明岛,东平国家森林公园,2051581969,公园,4A景区,热度 0.7,上海市崇明县北沿路2188号,在这里，你只需要深呼吸,"121.487554,31.689225"
广东·梅州·平远县,五指石,1326240159,公园,4A景区,热度 0.74,广东省梅州市平远县差干镇,擎天石峰，雄奇壮丽，漫步山中，如临仙境,"115.958549,24.905081"
广西·柳州·三江县,程阳八寨景区,2247288538,公园,4A景区,热度 0.7,广西省柳州市三江侗族自治县林溪乡程阳八寨,别具一格的建筑技艺和雄伟风姿而闻名于世,"109.647018,25.901019"
大阪府·大阪,日本环球影城,249012337,公园,,热度 1.0,"〒554-0031 大阪府大阪市此花区桜島２丁目１−33（2 Chome-1-33 Sakurajima, Konohana Ward, Osaka, Osaka Prefecture 554-0031日本）",首座不位于美国本土的环球影城,"135.432338170708,34.6654417658482"
河南·开封·龙亭区,龙亭公园,79109322,公园,4A景区,热度 0.86,河南省开封市龙亭区宋都御街北街,开封揽胜必游龙亭，中外游客向往之地,"114.359797,34.814381"
湖北·武汉·东西湖区,武汉园博园（武汉自然博物馆）,116934768,公园,,热度 0.0,湖北省武汉市东西湖区金南二路8号,生态园博，绿色生活,"114.221972,30.632838"
广东·东莞·东莞市,东莞观音山旅游风景区,423322352,公园,4A景区,热度 0.76,广东省东莞市樟木头镇石新区笔架山大道1号,南天圣地，百粤秘境,"114.103413,22.911516"
北京·北京·怀柔区,喇叭沟原始森林公园,2686206123,公园,,热度 0.7,北京市怀柔区满族乡孙栅子,浩瀚森林、险峻百丈悬崖和神秘的大峡谷,"116.496258,40.965879"
北京·北京·海淀区,香山公园,3442278694,公园,4A景区,热度 0.72,北京市海淀区买卖街40号,深秋时节，红叶漫山遍野，灿烂夺目,"116.203098,39.996942"
广东·江门·台山市,那琴半岛地质海洋公园,744935239,公园,,热度 0.0,广东省台山市北陡镇那琴半岛海景1街1号,奇形怪石令你尽情发挥空间想象力,"112.358605,21.72104"
江西·吉安·安福县,安福武功山,3836409635,公园,4A景区,热度 0.0,江西省吉安市安福县泰山乡文家村,山色风光旖旎，文化源远流长,"114.284206,27.475142"
湖南·张家界·武陵源区,武陵源风景名胜区,3726533679,公园,,热度 1.0,湖南省张家界市武陵源区,世界自然遗产，张家界核心景区,"110.487843,29.3416"
浙江·温州·乐清市,雁荡山,538879752,公园,5A景区,热度 1.0,浙江省温州乐清市雁荡镇雁山路88号,中国十大名山之一，风景秀美无双,"121.095868,28.352028"
黑龙江·哈尔滨·阿城区,金龙山（横头山）国家森林公园,3648125762,公园,3A景区,热度 0.7,黑龙江省哈尔滨市阿城区金龙山镇,红叶谷、彩蝶谷、野鹿谷、石柱峰、林海雪乡,"127.525294,45.52318"
海南·儋州,石花水洞,1603049738,公园,3A景区,热度 0.8,海南省儋州市雅星镇八一总场英岛山,探秘石花信水洞的地质奇观,"109.303563,19.450534"
重庆·重庆·南川区,金佛山,3863687047,公园,5A景区,热度 0.72,重庆市南川区金佛山西坡旅游区,山势雄奇秀丽，景色深秀迷人,"107.207362,29.104603"
甘肃·白银·景泰县,黄河石林国家地质公园,3152684288,公园,4A景区,热度 1.0,甘肃省白银市景泰县中泉乡龙湾村,具有天然大园林神韵的国家地质公园,"104.320473,36.89097"
广西·贵港·桂平市,龙潭国家森林公园,278109702,公园,4A景区,热度 0.72,广西壮族自治区贵港桂平市金田路,北回归线上一颗璀璨的绿色明珠,"110.019232,23.50181"
河南·郑州·惠济区,黄河风景名胜区,3642597782,公园,4A景区,热度 0.82,河南省郑州市江山路黄河南1号,黄河之水天上来，奔流到海不复回,"113.523323,34.95988"
浙江·杭州·萧山区,杭州乐园,3439737572,公园,4A景区,热度 0.72,浙江省杭州市萧山区风情大道2555号,长三角地区新一代综合性主题公园,"120.25205,30.166365"
云南·昆明·西山区,昆明西山龙门景区,1353886282,公园,4A景区,热度 0.74,云南省昆明市西山区西山公路,瞻仰文化碑林，看满清八旗遗迹,"102.640355,24.964658"
